5.000000000000000000e+00 4.250000000000000000e+00
1.000000000000000000e+00 2.250000000000000000e+00
5.000000000000000000e+00 3.750000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01
1.000000000000000000e+00 2.500000000000000000e-01
5.000000000000000000e+00 5.750000000000000000e+00
3.000000000000000000e+00 2.500000000000000000e+00
8.000000000000000000e+00 4.000000000000000000e+00
0.000000000000000000e+00 2.500000000000000000e-01
0.000000000000000000e+00 1.250000000000000000e+00
1.000000000000000000e+00 1.250000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01
1.000000000000000000e+00 4.250000000000000000e+00
0.000000000000000000e+00 1.250000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01
2.000000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01
8.000000000000000000e+00 5.999999999999999112e+00
1.000000000000000000e+00 3.750000000000000000e+00
0.000000000000000000e+00 2.250000000000000000e+00
2.000000000000000000e+00 2.500000000000000000e+00
9.000000000000000000e+00 6.500000000000000000e+00
4.000000000000000000e+00 5.000000000000000000e+00
2.200000000000000000e+01 2.075000000000000000e+01
3.000000000000000000e+00 4.000000000000000000e+00
9.000000000000000000e+00 4.750000000000000000e+00
4.000000000000000000e+00 6.750000000000000000e+00
9.000000000000000000e+00 7.500000000000000000e+00
8.000000000000000000e+00 2.050000000000000000e+01
3.000000000000000000e+00 1.050000000000000000e+01
4.000000000000000000e+00 5.500000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01
2.000000000000000000e+00 5.000000000000000000e-01
0.000000000000000000e+00 2.250000000000000000e+00
0.000000000000000000e+00 2.500000000000000000e-01
1.000000000000000000e+00 1.500000000000000000e+00
2.000000000000000000e+00 2.750000000000000000e+00
1.000000000000000000e+00 1.500000000000000000e+00
1.000000000000000000e+00 3.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e-01
3.000000000000000000e+00 7.000000000000000000e+00
8.000000000000000000e+00 5.000000000000000000e+00
6.000000000000000000e+00 4.000000000000000000e+00
0.000000000000000000e+00 3.000000000000000000e+00
4.000000000000000000e+00 5.750000000000000000e+00
0.000000000000000000e+00 2.500000000000000000e-01
0.000000000000000000e+00 1.500000000000000000e+00
4.000000000000000000e+00 5.999999999999999112e+00
1.000000000000000000e+00 1.500000000000000000e+00
5.000000000000000000e+00 7.500000000000000000e-01
5.000000000000000000e+00 2.249999999999999556e+00
2.000000000000000000e+00 4.250000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e-01
0.000000000000000000e+00 2.500000000000000000e-01
0.000000000000000000e+00 2.000000000000000000e+00
1.000000000000000000e+00 1.500000000000000000e+00
2.000000000000000000e+00 6.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01
1.000000000000000000e+00 7.500000000000000000e-01
6.000000000000000000e+00 8.750000000000000000e+00
1.000000000000000000e+00 2.250000000000000000e+00
4.000000000000000000e+00 6.250000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000000e+00 1.500000000000000000e+01
6.000000000000000000e+00 9.000000000000000000e+00
4.000000000000000000e+00 1.125000000000000000e+01
3.000000000000000000e+00 9.750000000000000000e+00
1.000000000000000000e+00 2.500000000000000000e+00
5.000000000000000000e+00 4.750000000000000000e+00
1.000000000000000000e+00 7.500000000000000000e-01
0.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01
0.000000000000000000e+00 1.750000000000000000e+00
4.000000000000000000e+00 7.500000000000000000e-01
3.000000000000000000e+00 1.500000000000000000e+00
